108.256 4  3.074223 4.626536 -0.115417
108.383 4  3.074761 4.814239 -0.111642
108.384 4  3.079922 4.762745 -0.130604
108.428 4  3.066667 4.965571 -0.10338
108.443 4  3.068265 4.905884 -0.117163
108.491 4  3.067057 4.841032 -0.102495
108.547 4  3.065948 5.021691 -0.099492
108.590 4  3.070023 5.150333 -0.133066
108.668 4  3.072655 5.094252 -0.097362
108.684 4  3.049458 5.031063 -0.140885
108.743 4  3.051504 4.973485 -0.114543
108.795 4  3.064282 5.210544 -0.103258
108.879 4  3.050884 5.358768 -0.112993
108.903 4  3.065861 5.305909 -0.096741
108.998 4  3.050798 5.198586 -0.081409
109.045 4  3.063545 5.474418 -0.104889
109.094 4  3.036582 5.608547 -0.077523
109.150 4  3.028491 5.561892 -0.087562
109.193 4  3.062151 5.519655 -0.097219
109.262 4  3.050478 5.46053 -0.063691
109.317 4  3.063358 3.010131 -0.090835
109.362 4  3.066336 1.99175 -0.069492
109.438 4  3.050392 1.942111 -0.073435
109.440 4  3.066065 1.906772 -0.08249
109.491 4  3.065449 1.856601 -0.053941
109.537 4  3.076552 1.122953 -0.07254
109.588 4  3.063638 0.82428 -0.059789
109.644 4  3.07797 0.843251 -0.063054
109.675 4  3.076958 0.867795 -0.054334
109.761 4  3.066125 0.882311 -0.060236
109.793 4  3.082464 0.585342 -0.045328
109.848 4  3.070713 0.468298 -0.051238
109.936 4  3.072003 0.47117 -0.052689
109.936 4  3.078953 0.475435 -0.055277
110.032 4  3.076534 0.472111 -0.062415
110.033 4  3.072549 0.384981 -0.054099
110.088 4  3.07592 0.347304 -0.049096
110.189 4  3.067028 0.330261 -0.056727
110.190 4  3.078249 0.309383 -0.058513
110.244 4  3.072046 0.274641 -0.063783
110.352 4  3.071667 0.330984 -0.074522
110.396 4  3.079423 0.340402 -0.074031
110.397 4  3.069359 0.285578 -0.071969
110.428 4  3.072097 0.230894 -0.090085
110.475 4  3.072031 0.161644 -0.080088
110.539 4  3.066667 0.318852 -0.094389
110.583 4  3.068618 0.397931 -0.094533
110.646 4  3.079318 0.326824 -0.090813
